country,region,population,area_sq_miles,population_density_per_sq_mile,infant_mortality_per_1000,gdp_usd_per_capita,literacy_percent,phones_per_1000,birthrate,deathrate
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,48.0,163.07,700,36.0,3.2,46.6,20.34
Albania ,EASTERN EUROPE                     ,3581655,28748,124.6,21.52,4500,86.5,71.2,15.11,5.22
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,13.8,31,6000,70.0,78.1,17.14,4.61
American Samoa ,OCEANIA                            ,57794,199,290.4,9.27,8000,97.0,259.5,22.46,3.27
Andorra ,WESTERN EUROPE                     ,71201,468,152.1,4.05,19000,100.0,497.2,8.71,6.25
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,191.19,1900,42.0,7.8,45.11,24.2
Anguilla ,LATIN AMER. & CARIB    ,13477,102,132.1,21.03,8600,95.0,460.0,14.17,5.34
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,156.0,19.46,11000,89.0,549.9,16.93,5.37
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,14.4,15.18,11200,97.1,220.4,16.73,7.55
Armenia ,C.W. OF IND. STATES ,2976372,29800,99.9,23.28,3500,98.6,195.7,12.07,8.23
Aruba ,LATIN AMER. & CARIB    ,71891,193,372.5,5.89,28000,97.0,516.1,11.03,6.68
Australia ,OCEANIA                            ,20264082,7686850,2.6,4.69,29000,100.0,565.5,12.14,7.51
Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,4.66,30000,98.0,452.2,8.74,9.76
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,91.9,81.74,3400,97.0,137.1,20.74,9.75
Bahamas. The ,LATIN AMER. & CARIB    ,303770,13940,21.8,25.21,16700,95.6,460.6,17.57,9.05
Bahrain ,NEAR EAST                          ,698585,665,1050.5,17.27,16900,89.1,281.3,17.8,4.14
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,62.6,1900,43.1,7.3,29.8,8.27
Barbados ,LATIN AMER. & CARIB    ,279912,431,649.5,12.5,15700,97.4,481.9,12.71,8.67
Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,13.37,6100,99.6,319.1,11.16,14.02
Belgium ,WESTERN EUROPE                     ,10379067,30528,340.0,4.68,29100,98.0,462.6,10.38,10.27
Belize ,LATIN AMER. & CARIB    ,287730,22966,12.5,25.69,4900,94.1,115.7,28.84,5.72
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,85,1100,40.9,9.7,38.85,12.22
Bermuda ,NORTHERN AMERICA                   ,65773,53,1241.0,8.53,36000,98.0,851.4,11.4,7.74
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,100.44,1300,42.2,14.3,33.65,12.7
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,8.2,53.11,2400,87.2,71.9,23.3,7.53
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,88.0,21.05,6100,,215.4,8.77,8.27
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,54.58,9000,79.8,80.5,23.08,29.5
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,22.1,29.61,7600,86.4,225.3,16.56,6.17
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,151.0,18.05,16000,97.8,506.5,14.89,4.42
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,12.61,18600,93.9,237.2,18.79,3.45
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,66.6,20.55,7600,98.6,336.3,9.65,14.27
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,97.57,1100,26.6,7.0,45.62,15.6
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,67.24,1800,85.3,10.1,17.91,9.83
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,69.29,600,51.6,3.4,42.22,13.46
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,71.48,1900,69.4,2.6,26.9,9.06
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,68.26,1800,79.0,5.7,33.89,13.47
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,4.75,29800,97.0,552.2,10.78,7.8
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,47.77,1400,76.6,169.6,24.87,6.55
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,173.4,8.19,35000,98.0,836.3,12.74,4.89
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,91,1100,51.0,2.3,33.91,18.65
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,93.82,1200,47.5,1.3,45.73,16.38
Chile ,LATIN AMER. & CARIB    ,16134219,756950,21.3,8.8,9900,96.2,213.0,15.23,5.81
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,24.18,5000,90.9,266.7,13.25,6.97
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,20.97,6300,92.5,176.2,20.48,5.58
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,74.93,700,56.5,24.5,36.93,8.2
Congo. Dem. Rep. ,SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,94.69,700,65.5,0.2,43.69,13.27
Congo. Repub. of the ,SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,93.86,700,83.8,3.7,42.57,12.93
Cook Islands ,OCEANIA                            ,21388,240,89.1,,5000,95.0,289.9,21,
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,79.8,9.95,9100,96.0,340.7,18.32,4.36
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,90.83,1400,50.9,14.6,35.11,14.84
Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,6.84,10600,98.5,420.4,9.61,11.48
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,102.7,6.33,2900,97.0,74.7,11.89,7.22
Cyprus ,NEAR EAST                          ,784301,9250,84.8,7.18,19200,97.6,,12.56,7.68
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,3.93,15700,99.9,314.3,9.02,10.59
Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,4.56,31100,100.0,614.6,11.13,10.36
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,104.13,1300,67.9,22.8,39.53,19.31
Dominica ,LATIN AMER. & CARIB    ,68910,754,91.4,14.15,5400,94.0,304.8,15.27,6.73
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,188.5,32.38,6000,84.7,97.4,23.22,5.73
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,47.41,500,58.6,,26.99,6.24
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,47.8,23.66,3300,92.5,125.6,22.29,4.23
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,32.59,4000,57.7,131.8,22.94,5.23
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,324.3,25.1,4800,80.2,142.4,26.61,5.78
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,85.13,2700,85.7,18.5,35.59,15.06
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,74.87,700,58.6,7.9,34.33,9.6
Estonia ,BALTICS                            ,1324333,45226,29.3,7.87,12300,99.8,333.8,10.04,13.25
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,95.32,700,42.7,8.2,37.98,14.86
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,33.8,6.24,22000,,503.8,14.05,8.7
Fiji ,OCEANIA                            ,905949,18270,49.6,12.62,5800,93.7,112.6,22.55,5.65
Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,3.57,27400,100.0,405.3,10.45,9.86
France ,WESTERN EUROPE                     ,60876136,547030,111.3,4.26,27600,99.0,586.4,11.99,9.14
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,2.2,12.07,8300,83.0,255.6,20.46,4.88
French Polynesia ,OCEANIA                            ,274578,4167,65.9,8.44,17500,98.0,194.5,16.68,4.69
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,53.64,5500,63.2,27.4,36.16,12.25
Gambia. The ,SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,72.02,1700,40.1,26.8,39.37,12.25
Gaza Strip ,NEAR EAST                          ,1428757,360,3968.8,22.93,600,,244.3,39.45,3.8
Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,18.59,2500,99.0,146.6,10.41,9.23
Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,4.16,27600,99.0,667.9,8.25,10.62
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,51.43,2200,74.8,14.4,30.52,9.72
Gibraltar ,WESTERN EUROPE                     ,27928,7,3989.7,5.13,17500,,877.7,10.74,9.31
Greece ,WESTERN EUROPE                     ,10688058,131940,81.0,5.53,20000,97.5,589.7,9.68,10.24
Greenland ,NORTHERN AMERICA                   ,56361,2166086,0.0,15.82,20000,,448.9,15.93,7.84
Grenada ,LATIN AMER. & CARIB    ,89703,344,260.8,14.62,5000,98.0,364.5,22.08,6.88
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,254.4,8.6,8000,90.0,463.8,15.05,6.09
Guam ,OCEANIA                            ,171019,541,316.1,6.94,21000,99.0,492.0,18.79,4.48
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,112.9,35.93,4100,70.6,92.1,29.88,5.2
Guernsey ,WESTERN EUROPE                     ,65409,78,838.6,4.71,20000,,842.4,8.81,10.01
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,90.37,2100,35.9,2.7,41.76,15.48
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,107.17,800,42.4,7.4,37.22,16.53
Guyana ,LATIN AMER. & CARIB    ,767245,214970,3.6,33.26,4000,98.8,143.5,18.28,8.28
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,299.4,73.45,1600,52.9,16.9,36.44,12.17
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,65.4,29.32,2600,76.2,67.5,28.24,5.28
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,2.97,28800,93.5,546.7,7.29,6.29
Hungary ,EASTERN EUROPE                     ,9981334,93030,107.3,8.57,13900,99.4,336.2,9.72,13.11
Iceland ,WESTERN EUROPE                     ,299388,103000,2.9,3.31,30900,99.9,647.7,13.64,6.72
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,56.29,2900,59.5,45.4,22.01,8.18
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,35.6,3200,87.9,52.0,20.34,6.25
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,41.58,7000,79.4,276.4,17,5.55
Iraq ,NEAR EAST                          ,26783383,437072,61.3,50.25,1500,40.4,38.6,31.98,5.37
Ireland ,WESTERN EUROPE                     ,4062235,70280,57.8,5.39,29600,98.0,500.5,14.45,7.82
Isle of Man ,WESTERN EUROPE                     ,75441,572,131.9,5.93,21000,,676.0,11.05,11.19
Israel ,NEAR EAST                          ,6352117,20770,305.8,7.03,19800,95.4,462.3,17.97,6.18
